Country;Metric;Imperial;Name;(age at death)
Somaliland;232 cm;7 ft 7.4 in;Hussain Bisad;born 1975
Argentina;232 cm;7 ft 7.4 in;Jorge González;1966–2010 (44)
United Kingdom;231.8 cm;7 ft 7.26 in;Paul Sturgess;born 1987
United States;231 cm;7 ft 7 in;Kenny George;born 1987
United States;231 cm;7 ft 7 in;Lock Martin;1916–1959 (43)
Ireland;231 cm;7 ft 7 in;Charles Byrne;1761–1783 (22)
United States;231 cm;7 ft 7 in;Max Palmer;1927–1984 (57)
Romania;231 cm;7 ft 7 in;Gheorghe Mureșan;born 1971
Romania;231 cm;7 ft 7 in;Robert Bobroczkyi;born 2000
Bangladesh;231 cm;7 ft 7 in;Jinnat Ali;1996–2020 (24)
India;231 cm;7 ft 7 in;Jitendra Singh;1971–2015 (44)[97]
South Sudan;231 cm;7 ft 7 in;Manute Bol;1962–2010 (48)
Belgium;230.5 cm;7 ft 6.75 in;Alain Delaunois;born 1971
Azerbaijan;230 cm;7 ft 6.55 in;Aleksandar Rindin;born 1985
Italy;230 cm;7 ft 6.55 in;Samuel Deguara;born 1991
Malta;;;;
Montenegro;230 cm;7 ft 6.55 in;Slavko Vraneš;born 1983
Vietnam;229 cm;7 ft 6.25 in;Trần Thành Phố;1947–2010 (63)
Senegal;229 cm;7 ft 6.25 in;Malik Sidibe;born 1985
United Kingdom;229 cm;7 ft 6.25 in;Christopher Greener;1943–2015 (71)
Algeria;229 cm;7 ft 6.2 in;Saad Kaiche;born 1985
United States;229 cm;7 ft 6 in;Jack Earle;1906–1952 (46)
United States;229 cm;7 ft 6 in;Ralph Madsen;1897–1948 (51)
United States;229 cm;7 ft 6 in;Mills Darden;1799–1857 (57)
China;229 cm;7 ft 6 in;Yao Ming;born 1980
United States;229 cm;7 ft 6 in;Shawn Bradley;born 1972
Germany;;;;
United States;229 cm;7 ft 6 in;John Hollinden;1958–1992
Senegal;229 cm;7 ft 6 in;Moussa Seck;born 1986
United States;229 cm;7 ft 6 in;Matthew McGrory;1973–2005 (32)
Senegal;229 cm;7 ft 6 in;Mamadou N'Diaye;born 1993
Senegal;229 cm;7 ft 6 in;Tacko Fall;born 1995
United States;229 cm;7 ft 6 in;Conrad Furrows;1922–1967 (45)
India;229 cm;7 ft 6 in;Jagdeep Singh;fl. ?–March 2019
Spain;229 cm;7 ft 6 in;Fermín Arrudi Urieta [es];1870–1913 (42)
Russia;228 cm;7 ft 5.8 in;Sergey Ilin;born 1988
Democratic Republic of the Congo;228 cm;7 ft 5.8 in;Bienvenu Letuni;born 1994
Poland;228 cm;7 ft 5.8 in;Eugeniusz Taraciński;1928–1978 (50)
Colombia;228 cm;7 ft 5.8 in;Asdrúbal Herrera Mora;born 1986
Slovakia;228 cm;7 ft 5.8 in;Martin Miklosik;born 1986
Peru;228 cm;7 ft 5.8 in;Margarito Machacuay;1965–2020[122] (55)
Venezuela;227 cm;7 ft 5.4;Jeison Rodríguez;c. born 1995
United States;226 cm;7 ft 5 in;Chuck Nevitt;born 1959
Russia;226 cm;7 ft 5 in;Pavel Podkolzin;born 1985
Canada;226 cm;7 ft 5 in;Sim Bhullar;born 1992
United States;226 cm;7 ft 5 in;Will Jacobsen;born 1988
United States;226 cm;7 ft 5 in;Jamarion Sharp;born 2001
Czech Republic;226 cm;7 ft 5 in;Tomáš Pustina;1977–2016 (38)
Norway;226 cm;7 ft 5 in;Henrik Brustad [no];1844–1899 (54)
United States;225 cm;7 ft 4.6 in;John Aasen;1890–1938 (48)
Nigeria;225 cm;7 ft 4.6 in;Afeez Agoro Oladimeji;1975–2023 (47)
Ethiopia;225 cm;7 ft 4.6 in;Nagawoo Jimaan;born 1997/98 (aged 24 as of March 2022)
Czech Republic;225 cm;7 ft 4.6 in;Ivo Höger;born 1982
United States;224 cm;7 ft 4 in;Mark Eaton;1957–2021 (64)
Netherlands;224 cm;7 ft 4 in;Rik Smits;born 1966
Bulgaria;224 cm;7 ft 4 in;Priest Lauderdale;born 1973
United States;;;;
Serbia;224 cm;7 ft 4 in;Boban Marjanović;born 1988
France;224 cm;7 ft 4 in;Victor Wembanyama;born 2004
Slovakia;224 cm;7 ft 4 in;Michael Fusek;born 1995
Canada;224 cm;7 ft 4 in;Zach Edey;born 2002
Australia;223 cm;7 ft 4 in;Kewal Shiels;born 1989
Ghana;223 cm;7 ft 4 in;Sulemana Abdul-Samed;born 1994
Puerto Rico;222 cm;7 ft 3.5 in;Peter John Ramos;born 1985
South Sudan;222 cm;7 ft 3.5 in;Ring Ayuel;born 1988
United Kingdom;222 cm;7 ft 3.4 in;Patrick Murphy;1834–1862 (27)
Algeria;222 cm;7 ft 3.4 in;Mounir Fourar;1972–2012 (40)
Italy;222 cm;7 ft 3.4 in;Gino Cuccarolo;born 1987
Estonia;222 cm;7 ft 3.4 in;Janar Purason;born 1985
United Kingdom;221 cm;7 ft 3 in;Peter Mayhew;1944–2019 (74)
China;221 cm;7 ft 3 in;Ren Keyu;born 2006
Nepal;221 cm;7 ft 3 in;Rajan Adhikari;born 1978
United States;221 cm;7 ft 3 in;Jim Tarver;1885–1958 (72)
Philippines;221 cm;7 ft 3 in;Kai Sotto;born 2002
Philippines;221 cm;7 ft 3 in;Raul Dillo;born 1991
United States;221 cm;7 ft 3 in;Randy Breuer;born 1960
Lithuania;221 cm;7 ft 3 in;Žydrūnas Ilgauskas;born 1975
Lithuania;221 cm;7 ft 3 in;Arvydas Sabonis;born 1964
Tanzania;221 cm;7 ft 3 in;Hasheem Thabeet;born 1987
United States;221 cm;7 ft 3 in;Swede Halbrook;1933–1988 (55)
United States;221 cm;7 ft 3 in;Keith Closs;born 1976
South Korea;221 cm;7 ft 3 in;Ha Seung-jin;born 1985
Bosnia & Herzegovina;221 cm;7 ft 3 in;Aleksandar Radojević;born 1976
Montenegro;;;;
Cape Verde;221 cm;7 ft 3 in;Walter Tavares;born 1992
Germany;221 cm;7 ft 3 in;Tibor Pleiß;born 1989
